id,symbol,side,strategy,entry_price,exit_price,quantity,profit_loss,profit_loss_percent,stop_loss_price,take_profit_price,status,is_paper_trade,opened_at,closed_at,exit_reason,symbol,direction,regime,ensemble_confidence,regime_boost,agreeing_strategies_count,disagreeing_strategies_count,sentiment_value,sentiment_bias,funding_rate,funding_bias,kelly_fraction,stop_distance_pct,risk_reward_ratio,portfolio_drawdown_at_entry,open_positions_at_entry,hft_mode,raw_conditions
1,SOL/USDT,BUY,RSI Mean Reversion + MACD Momentum + Bollinger Bands,79.13,79.74,25.274864,11.4022,0.5701,79.50078,79.41252785,closed,1,2026-02-24 23:52:07.682004,2026-02-25 01:06:49.220487,take_profit,SOL/USDT,BUY,high_volatility,0.5835,0.733,3,0,8,BUY_ONLY,-0.00016621,BULLISH_FOR_LONGS,0.02,0.9015,0.396,0.0,0,True,"['oversold_recovery', 'bullish_crossover', 'lower_band_bounce']"
2,XRP/USDT,BUY,EMA Scalping,1.3488,1.3455,1482.499703,-8.8865,-0.4444,1.34553759,1.35491703,closed,1,2026-02-24 23:54:18.507399,2026-02-25 00:21:10.030417,stop_loss,XRP/USDT,BUY,trending_up,0.8985,1.3,1,0,8,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.02,0.2419,1.875,0.02,1,True,['bullish_ema_crossover']
3,ETH/USDT,BUY,Bollinger Bands,1853.02,1865.23,1.078996,9.1626,0.4583,1859.63431,1864.11971378,closed,1,2026-02-24 23:56:20.749639,2026-02-25 01:09:25.472618,take_profit,ETH/USDT,BUY,low_volatility,0.75,1.0,1,0,8,BUY_ONLY,-2.526e-05,NEUTRAL,0.02,0.6512,0.92,0.03,2,True,['lower_band_bounce']
4,DOGE/USDT,BUY,Bollinger Bands,0.09141,0.09233,21873.262311,16.1044,0.8054,0.09205301,0.0917644,closed,1,2026-02-25 00:00:27.818314,2026-02-25 01:10:59.508368,take_profit,DOGE/USDT,BUY,ranging,0.8699,1.2,1,0,8,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.02,0.7603,0.51,0.03,3,True,['lower_band_bounce']
5,XRP/USDT,BUY,MACD Momentum,1.3454,1.3659,1484.133304,26.4008,1.3222,1.3618023,1.36154481,closed,1,2026-02-25 00:42:36.509950,2026-02-25 01:11:29.674050,take_profit,XRP/USDT,BUY,low_volatility,1.0,1.0,1,0,11,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.02,0.6,2.0,0.16,3,True,['bullish_crossover']
6,BTC/USDT,BUY,Bollinger Bands,64433.87,65135.87,0.031139,17.8249,0.8884,64940.46239,64739.81424113,closed,1,2026-02-25 01:09:30.313265,2026-02-25 01:11:29.704034,take_profit,BTC/USDT,BUY,low_volatility,0.75,1.0,1,0,11,BUY_ONLY,2.128e-05,NEUTRAL,0.02,0.5701,0.833,0.0,2,True,['lower_band_bounce']
7,ETH/USDT,BUY,Bollinger Bands,1887.66,1913.22,1.067144,23.2201,1.1527,1907.48034,1906.52389728,closed,1,2026-02-25 01:11:34.828767,2026-02-25 01:13:03.781172,take_profit,ETH/USDT,BUY,trending_down,0.75,1.0,1,0,11,BUY_ONLY,-1.068e-05,NEUTRAL,0.02,0.5515,1.812,0.0,0,True,['lower_band_bounce']
8,SOL/USDT,BUY,Bollinger Bands,81.47,82.42,24.782728,19.482,0.9649,82.17274,81.88970275,closed,1,2026-02-25 01:16:44.750472,2026-02-25 01:21:22.193181,take_profit,SOL/USDT,BUY,ranging,0.9918,1.2,1,0,11,BUY_ONLY,-0.00020421,BULLISH_FOR_LONGS,0.02,0.6634,0.777,0.0,0,True,['lower_band_bounce']
9,DOGE/USDT,BUY,EMA Scalping,0.09368,0.09401,21552.61161,3.0672,0.1519,0.09352527,0.09397013,closed,1,2026-02-25 01:16:44.790659,2026-02-25 01:17:13.888326,take_profit,DOGE/USDT,BUY,ranging,0.6041,1.0,1,0,11,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.02,0.1652,1.875,0.0,1,True,['bullish_ema_crossover']
10,DOGE/USDT,BUY,EMA Scalping,0.09401,0.09381,21504.567976,-8.3399,-0.4125,0.09385472,0.09430116,closed,1,2026-02-25 01:17:17.145735,2026-02-25 01:17:43.909009,stop_loss,DOGE/USDT,BUY,ranging,0.6041,1.0,1,0,11,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.02,0.1652,1.875,0.0,1,True,['bullish_ema_crossover']
11,DOGE/USDT,BUY,EMA Scalping,0.09381,0.09413,21521.54853,2.8421,0.1408,0.09365505,0.09410054,closed,1,2026-02-25 01:17:44.198391,2026-02-25 01:19:48.039917,take_profit,DOGE/USDT,BUY,ranging,0.6041,1.0,1,0,11,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.02,0.1652,1.875,0.13,1,True,['bullish_ema_crossover']
12,BNB/USDT,BUY,RSI Mean Reversion + Bollinger Bands,596.09,597.42,3.386965,0.4623,0.0229,597.83111,600.0097428,closed,1,2026-02-25 01:17:49.691509,2026-02-25 01:23:26.321764,trailing_stop,BNB/USDT,BUY,trending_down,1.0,1.0,2,0,11,BUY_ONLY,0.0,NEUTRAL,0.02,0.7024,0.936,0.13,2,True,"['oversold_recovery', 'lower_band_bounce']"
13,XRP/USDT,BUY,Bollinger Bands,1.3839,1.3926,1460.651509,8.6522,0.428,1.3884222,1.39026896,closed,1,2026-02-25 01:20:55.721784,2026-02-25 01:21:22.206458,take_profit,XRP/USDT,BUY,low_volatility,0.7249,1.0,1,0,11,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.02,0.6126,0.751,0.01,2,True,['lower_band_bounce']
14,XRP/USDT,BUY,Bollinger Bands,1.3926,1.3836,1455.175337,-17.1364,-0.8456,1.38406879,1.399009,closed,1,2026-02-25 01:21:26.661295,2026-02-25 01:34:50.584468,stop_loss,XRP/USDT,BUY,low_volatility,0.7249,1.0,1,0,11,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.02,0.6126,0.751,0.0,1,True,['lower_band_bounce']
15,DOGE/USDT,BUY,MACD Momentum,0.09432,0.09371,21446.089906,-17.1146,-0.8461,0.09375408,0.09545184,closed,1,2026-02-25 01:25:04.337144,2026-02-25 02:56:24.715317,stop_loss,DOGE/USDT,BUY,low_volatility,0.8422,1.0,1,0,11,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.02,0.6,2.0,0.18,1,True,['bullish_crossover']
16,SOL/USDT,BUY,Bollinger Bands,82.31,81.67,24.594801,-19.7737,-0.9768,81.67222922,82.53954617,closed,1,2026-02-25 01:28:07.815328,2026-02-25 01:44:44.848543,stop_loss,SOL/USDT,BUY,high_volatility,0.6587,0.8,1,0,11,BUY_ONLY,-0.00019582,BULLISH_FOR_LONGS,0.02,0.7748,0.36,0.1,2,True,['lower_band_bounce']
17,ETH/USDT,BUY,Bollinger Bands,1914.24,1921.95,1.057034,4.0947,0.2024,1903.43078524,1920.43110226,closed,1,2026-02-25 01:29:12.568545,2026-02-25 01:36:24.672049,take_profit,ETH/USDT,BUY,low_volatility,0.75,1.0,1,0,11,BUY_ONLY,3.77e-06,NEUTRAL,0.02,0.5647,0.573,0.15,3,True,['lower_band_bounce']
18,XRP/USDT,BUY,MACD Momentum + EMA Scalping,1.389,1.3818,1454.09686,-14.4985,-0.7178,1.38273566,1.40142607,closed,1,2026-02-25 01:38:36.085054,2026-02-25 01:44:45.148847,stop_loss,XRP/USDT,BUY,ranging,1.0,1.0,2,0,11,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.02,0.451,1.984,0.33,2,True,"['bullish_crossover', 'bullish_ema_crossover']"
19,BNB/USDT,BUY,RSI Mean Reversion + Bollinger Bands,597.32,600.16,3.378935,5.55,0.275,593.02238726,599.7221796,closed,1,2026-02-25 01:42:44.065998,2026-02-25 02:07:03.593365,take_profit,BNB/USDT,BUY,trending_down,1.0,1.0,2,0,11,BUY_ONLY,0.0,NEUTRAL,0.05,0.7195,0.559,0.4,3,True,"['oversold_recovery', 'lower_band_bounce']"
20,XRP/USDT,BUY,EMA Scalping,1.3874,1.3911,1451.233095,1.3373,0.0664,1.38544218,1.39107092,closed,1,2026-02-25 01:59:17.609217,2026-02-25 02:01:51.485415,take_profit,XRP/USDT,BUY,low_volatility,0.7517,1.15,1,0,11,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.005,0.1411,1.875,0.64,2,True,['bullish_ema_crossover']
21,BTC/USDT,BUY,EMA Scalping,66242.06,66037.51,0.030451,-10.2568,-0.5085,66098.94175061,66510.40671759,closed,1,2026-02-25 02:08:37.424125,2026-02-25 02:10:11.656001,stop_loss,BTC/USDT,BUY,high_volatility,0.4839,0.7,1,0,11,BUY_ONLY,3.261e-05,NEUTRAL,0.005,0.2161,1.875,0.46,1,True,['bullish_ema_crossover']
22,BNB/USDT,BUY,MACD Momentum,601.69,598.0,3.347257,-16.367,-0.8127,598.07986001,608.91028,closed,1,2026-02-25 02:15:45.459079,2026-02-25 02:56:24.758925,stop_loss,BNB/USDT,BUY,low_volatility,0.4825,1.0,1,0,11,BUY_ONLY,0.0,NEUTRAL,0.02,0.6,2.0,0.62,1,True,['bullish_crossover']
23,XRP/USDT,BUY,Bollinger Bands,1.3906,1.3793,1448.698939,-20.383,-1.0118,1.37944255,1.39789718,closed,1,2026-02-25 02:22:59.118722,2026-02-25 02:57:57.102793,stop_loss,XRP/USDT,BUY,high_volatility,0.9666,0.8,1,0,11,BUY_ONLY,0.0001,BEARISH_FOR_LONGS,0.05,0.8023,0.654,0.59,2,True,['lower_band_bounce']
